
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All households","Owned: Owned outright","Owned: Owned with a mortgage or loan","Social rented: Rented from council (Local Authority)","Social rented: Other","Private rented: Private landlord or letting agency","Private rented: Other"
"N14  5",2276,913,833,30,33,417,27
"N14  6",2744,886,888,86,61,737,25
"N14  7",2115,910,875,18,11,258,18
"N15  3",4108,658,874,459,395,1564,62
"N15  4",4203,398,666,794,879,1219,48
"N15  5",3756,452,748,974,384,1016,41
"N15  6",4426,592,752,1191,356,1325,58
"N16  0",3565,501,924,556,489,960,42
"N16  5",5658,624,771,940,1167,1917,82
"N16  6",4829,589,669,604,786,1913,86
"N16  7",4747,505,908,683,872,1595,61
"N16  8",4863,434,876,1470,802,1094,56
"N16  9",2612,375,643,410,408,643,40
"N17  0",4281,413,570,1526,547,1039,45
"N17  6",7848,1057,1506,1659,1212,2057,84
"N17  7",3610,385,759,1376,424,529,41
"N17  8",3121,205,383,957,466,819,39
"N17  9",4813,578,943,1296,614,1168,70
"N18  1",5514,1129,1585,793,529,1310,55
"N18  2",5908,836,1368,1565,430,1455,64
"N19  3",5549,664,1164,1763,607,1201,57
"N19  4",4668,571,897,1167,796,1064,54
"N19  5",4901,486,839,1348,1020,1034,50
"N2   0",3976,1279,1158,129,378,881,49
"N2   8",2710,485,650,487,198,806,29
"N2   9",2950,953,848,166,240,661,23
"N20  0",4251,1207,1395,320,221,912,86
"N20  8",1486,757,541,11,7,137,5
"N20  9",1581,702,489,43,31,278,13
"N21  1",3586,1405,1301,51,120,599,23
"N21  2",2650,1094,1099,47,9,345,20
"N21  3",3011,988,1128,133,119,559,32
"N22  5",5236,765,1130,913,374,1847,54
"N22  6",4941,695,912,1419,456,1212,45
"N22  7",2966,688,1077,210,160,760,26
"N22  8",3969,495,794,634,468,1419,42
"N3   1",3643,1118,1026,88,99,1196,54
"N3   2",3637,963,1040,100,102,1314,47
"N3   3",3198,1132,858,158,43,862,49
"N4   1",5045,762,949,732,343,2046,59
"N4   2",6995,724,1166,1408,1030,2365,95
"N4   3",5285,490,944,1276,616,1808,53
"N4   4",3145,436,851,630,255,891,36
"N5   1",5486,846,1145,845,640,1705,83
"N5   2",5584,740,1282,1627,430,1346,59
"N6   4",2203,650,539,284,117,518,42
"N6   5",5180,1265,1371,173,187,2039,64
"N6   6",1550,553,369,297,14,232,37
"N7   0",5701,605,1002,1555,713,1596,93
"N7   6",3128,392,595,454,356,1208,49
"N7   7",3149,169,338,1358,567,608,26
"N7   8",5081,424,763,1190,1073,1319,79
"N7   9",4267,414,679,1085,923,940,79
"N8   0",4554,751,961,312,401,1976,46
"N8   7",4452,625,1219,967,340,1127,37
"N8   8",3708,744,1155,226,223,1223,39
"N8   9",4654,778,1409,341,611,1392,44
"N9   0",4701,557,914,793,1253,930,34
"N9   7",3781,889,1162,340,266,988,47
"N9   8",4725,1013,1298,789,303,1119,58
"N9   9",6333,1401,1838,920,501,1468,59
"NE1  2",1388,112,139,435,97,555,15
"NE1  3",396,34,60,22,15,252,7
"NE1  4",1058,80,160,21,305,451,26
"NE1  5",577,42,51,14,71,366,17
"NE1  6",377,18,34,55,23,226,10
"NE1  8",275,15,22,13,140,74,6
"NE10 0",4245,791,1020,1463,272,575,61
"NE10 8",7735,1922,2864,1921,527,378,51
"NE10 9",4304,856,1340,1301,385,319,51
"NE11 0",1834,616,704,286,65,126,8
"NE11 9",5346,1327,2076,969,186,633,85
"NE12 5",829,165,400,182,3,59,15
"NE12 6",3794,1032,1624,539,277,229,43
"NE12 7",2246,828,889,226,88,162,26
"NE12 8",4740,808,1506,1509,416,411,39
"NE12 9",4214,1183,1727,645,193,385,40
"NE13 6",2666,1110,893,311,39,224,45
"NE13 7",2377,797,799,437,70,211,44
"NE13 8",446,192,201,10,1,31,4
"NE13 9",391,89,195,10,65,29,2
"NE15 0",932,374,310,33,50,78,60
"NE15 6",2576,387,512,946,381,273,33
"NE15 7",3982,1384,1619,505,34,330,53
"NE15 8",4024,858,1458,852,258,491,52
"NE15 9",2727,739,824,769,164,173,19
"NE16 3",1428,314,469,293,50,269,17
"NE16 4",2868,1051,970,437,154,184,26
"NE16 5",4770,2267,1856,251,62,257,32
"NE16 6",2245,748,1002,150,138,158,22
"NE17 7",2167,664,670,337,95,347,22
"NE18 0",387,143,88,20,24,84,11
"NE19 1",537,202,151,30,47,63,21
"NE19 2",442,137,117,6,22,116,11
"NE2  1",3742,488,485,809,261,1508,89
"NE2  2",2564,606,524,34,136,1162,51
"NE2  3",2480,467,513,26,65,1318,56
"NE2  4",1617,145,147,189,380,542,175
"NE20 0",550,171,167,1,16,157,13
"NE20 9",4322,2240,1495,112,109,275,25
"NE21 4",2380,546,1049,508,43,185,28
"NE21 5",2305,462,823,707,112,161,10
"NE21 6",2897,1066,964,501,118,178,24
"NE22 5",4038,1103,1366,561,388,498,67
"NE22 6",2374,726,1024,222,144,183,35
"NE22 7",1426,357,486,262,175,115,10
"NE23 1",1570,534,702,132,43,105,13
"NE23 2",2312,519,1019,533,21,174,27
"NE23 3",2170,611,1302,130,8,90,7
"NE23 6",5111,1810,1771,696,194,497,72
"NE23 7",4750,1111,1708,1201,317,329,42
"NE23 8",1088,187,305,28,470,73,13
"NE24 1",1777,313,332,482,272,310,25
"NE24 2",2947,654,751,666,270,487,68
"NE24 3",4796,1714,2221,214,128,423,61
"NE24 4",3173,828,1187,653,94,329,37
"NE24 5",4048,818,1117,1443,253,295,47
"NE25 0",4313,1164,1578,856,175,380,53
"NE25 8",3849,1261,1617,522,16,353,37
"NE25 9",4947,2166,2049,157,131,347,37
"NE26 1",2065,734,971,11,23,281,24
"NE26 2",1991,526,797,48,98,436,40
"NE26 3",2251,1073,897,20,48,162,22
"NE26 4",2008,983,653,175,43,109,17
"NE27 0",5122,995,2223,1129,168,481,59
"NE28 0",3891,571,1102,1366,379,396,34
"NE28 6",2642,356,850,317,397,641,46
"NE28 7",3699,628,1252,690,255,759,64
"NE28 8",4432,1243,1782,639,183,439,72
"NE28 9",5860,1698,2391,1163,86,356,73
"NE29 0",3093,922,1172,170,170,572,41
"NE29 6",4111,466,990,880,821,820,63
"NE29 7",3771,682,907,1352,202,532,49
"NE29 8",3921,1016,1302,1129,89,313,35
"NE29 9",1830,798,736,51,9,199,22
"NE3  1",4014,1315,1438,318,78,702,94
"NE3  2",5889,1913,2195,828,101,718,55
"NE3  3",4923,1116,1436,1657,199,382,50
"NE3  4",4367,1482,1645,638,92,418,35
"NE3  5",3235,1199,1327,81,23,548,34
"NE30 1",791,128,181,72,231,147,16
"NE30 2",3705,1273,1519,78,149,570,71
"NE30 3",3726,1824,1363,265,69,135,32
"NE30 4",2582,775,737,218,244,499,53
"NE31 1",4506,764,1672,1115,386,483,43
"NE31 2",4504,1019,1377,1649,80,281,50
"NE32 3",2396,335,566,1139,46,267,22
"NE32 4",4628,1084,1426,1722,142,197,25
"NE32 5",4276,1117,1508,1067,248,241,43
"NE33 1",765,185,157,119,121,136,19
"NE33 2",2672,668,885,452,157,426,49
"NE33 3",3776,998,1435,246,239,654,79
"NE33 4",3714,805,1105,726,215,728,81
"NE33 5",2344,369,400,536,517,460,32
"NE34 0",4812,1231,1477,1022,269,702,63
"NE34 6",4033,1515,1345,435,421,215,36
"NE34 7",4991,999,1461,1594,631,191,19
"NE34 8",4647,1210,1383,1611,178,187,35
"NE34 9",4936,928,1320,2053,285,275,39
"NE35 9",2805,665,1098,542,211,232,19
"NE36 0",3035,1199,1192,346,63,172,31
"NE37 1",3974,999,1556,605,486,259,36
"NE37 2",3190,748,899,787,496,197,35
"NE37 3",1872,268,620,344,233,385,10
"NE38 0",3944,855,1699,614,431,261,40
"NE38 7",4004,1230,1434,546,437,283,36
"NE38 8",3120,767,1224,504,339,238,19
"NE38 9",2142,675,874,224,228,106,16
"NE39 1",1738,765,613,203,38,69,19
"NE39 2",1966,596,685,468,12,179,12
"NE4  5",2996,238,259,692,805,909,45
"NE4  6",2914,199,306,1316,427,547,47
"NE4  7",1325,43,59,877,251,61,9
"NE4  8",2897,299,393,761,377,930,52
"NE4  9",4068,1050,1259,656,179,757,101
"NE40 3",3360,1111,1174,591,228,188,32
"NE40 4",3489,1236,1456,312,47,364,37
"NE41 8",950,457,356,21,29,68,10
"NE42 5",2913,743,1146,389,358,196,34
"NE42 6",2368,793,951,202,208,171,18
"NE43 7",1895,820,684,34,70,197,16
"NE44 6",407,210,137,5,7,36,2
"NE45 5",1684,709,446,63,167,235,24
"NE46 1",1831,669,456,172,196,266,26
"NE46 2",1852,753,585,119,212,115,26
"NE46 3",1602,602,484,52,127,258,34
"NE46 4",1460,569,377,53,100,287,31
"NE47 0",418,189,122,10,19,52,9
"NE47 5",386,131,127,24,40,45,8
"NE47 6",943,296,249,52,108,157,24
"NE47 7",474,210,147,8,40,49,5
"NE47 8",203,60,39,2,2,76,3
"NE47 9",917,414,253,8,68,138,14
"NE48 1",363,151,88,9,29,49,20
"NE48 2",824,296,220,49,88,117,19
"NE48 3",495,153,122,11,38,137,16
"NE48 4",245,88,73,8,26,35,4
"NE49 0",512,222,125,2,26,111,7
"NE49 9",1497,560,385,148,189,160,23
"NE5  1",3837,2004,1508,39,38,174,33
"NE5  2",6336,1449,1992,1807,250,619,115
"NE5  3",4265,630,1111,1628,278,454,59
"NE5  4",3765,647,1052,1546,180,219,43
"NE5  5",3112,934,1088,631,175,196,42
"NE6  1",1688,130,227,764,128,404,19
"NE6  2",5569,512,739,3107,490,594,48
"NE6  3",3852,387,549,2242,311,192,34
"NE6  4",5355,1436,1672,1478,193,422,66
"NE6  5",6548,1083,1542,562,444,2632,172
"NE61 1",1927,737,567,117,150,247,50
"NE61 2",3908,1649,1333,322,293,233,25
"NE61 3",1603,758,545,23,42,173,13
"NE61 4",548,160,130,8,50,148,23
"NE61 5",3554,1192,1322,315,266,365,47
"NE61 6",2155,614,817,191,222,247,24
"NE62 5",4324,1374,1576,470,413,406,35
"NE63 0",3799,1181,1210,231,384,695,57
"NE63 8",3710,1106,1523,335,353,314,47
"NE63 9",4901,1094,1409,829,644,788,67
"NE64 6",2853,871,763,413,359,366,32
"NE65 0",3564,1302,1077,489,200,390,52
"NE65 7",1815,732,449,127,95,275,64
"NE65 8",945,402,324,73,26,78,9
"NE65 9",2505,877,888,275,151,242,30
"NE66 1",3150,873,804,645,289,397,40
"NE66 2",1745,644,552,160,32,265,24
"NE66 3",1945,696,461,115,117,329,168
"NE66 4",695,209,138,27,26,180,35
"NE66 5",159,45,32,14,14,51,0
"NE67 5",447,204,104,12,21,81,9
"NE68 7",952,424,236,42,117,90,17
"NE69 7",222,100,43,6,12,44,2
"NE7  7",6185,2172,2529,591,49,673,80
"NE70 7",808,290,172,41,101,145,29
"NE71 6",1443,486,273,95,200,256,32
"NE8  1",2391,325,499,549,223,694,49
"NE8  2",3679,250,675,1514,366,747,51
"NE8  3",4026,372,877,1054,746,849,74
"NE8  4",5430,904,1352,661,356,1982,113
"NE9  5",4500,1419,1638,654,172,485,56
"NE9  6",6867,1990,2357,1826,243,324,53
"NE9  7",5181,1322,1388,1767,331,269,47
"NG1  1",2162,100,198,135,290,1357,47
"NG1  3",1470,35,40,442,195,711,22
"NG1  4",1196,72,35,40,629,379,26
"NG1  5",807,50,55,7,116,541,24
"NG1  6",146,39,25,0,10,67,4
"NG1  7",258,8,11,8,65,134,13
"NG10 1",3658,977,1422,124,363,674,39
"NG10 2",2072,699,875,33,117,287,25
"NG10 3",6231,2004,2683,213,580,575,62
"NG10 4",4713,1432,1780,194,477,682,57
"NG10 5",3827,1310,1523,148,323,438,36
"NG11 0",1073,504,336,31,51,115,13
"NG11 6",3541,1301,1367,130,238,392,34
"NG11 7",1952,889,772,29,20,192,25
"NG11 8",5721,1452,1650,1420,413,448,79
"NG11 9",3847,1028,1266,1008,100,314,58
"NG12 1",1087,481,309,44,153,79,9
"NG12 2",2844,1363,1023,34,76,271,29
"NG12 3",4483,1627,1794,207,368,360,56
"NG12 4",2035,1006,675,59,121,136,14
"NG12 5",3620,1854,1166,87,168,245,31
"NG13 0",1919,787,707,107,25,209,29
"NG13 8",4990,1822,2032,139,396,474,47
"NG13 9",1819,803,708,34,76,146,16
"NG14 5",1708,874,590,13,38,141,28
"NG14 6",4121,1704,1424,128,252,473,63
"NG14 7",2089,1011,791,127,13,103,14
"NG15 0",884,269,340,47,89,112,7
"NG15 6",6167,2279,2339,808,158,419,61
"NG15 7",5774,1427,2156,716,252,1021,90
"NG15 8",2188,970,894,59,71,143,15
"NG15 9",2508,1373,915,7,27,119,19
"NG16 1",3795,1467,1634,290,15,301,37
"NG16 2",7129,2980,2822,375,181,606,72
"NG16 3",4725,1658,1571,635,195,500,67
"NG16 4",2371,602,824,245,274,361,25
"NG16 5",4297,1756,1541,325,163,381,54
"NG16 6",4861,1815,1762,625,105,427,55
"NG17 1",2690,746,1098,326,130,272,37
"NG17 2",6288,1997,1983,1173,217,745,76
"NG17 3",3868,1498,1289,393,101,474,46
"NG17 4",4188,1202,1417,312,222,891,57
"NG17 5",2705,789,830,631,97,263,25
"NG17 7",3880,1260,1226,672,196,421,46
"NG17 8",4661,1374,1872,612,182,508,49
"NG17 9",2724,1183,959,256,29,234,27
"NG18 1",619,111,110,64,22,282,11
"NG18 2",3617,655,900,799,285,856,49
"NG18 3",4987,1547,1740,969,270,375,45
"NG18 4",5516,1994,2213,429,172,603,50
"NG18 5",3371,1060,1095,248,180,689,49
"NG19 0",4707,1785,1989,244,150,456,46
"NG19 6",5255,1799,1579,965,176,574,67
"NG19 7",3882,1224,1310,673,135,436,42
"NG19 8",4459,1469,1423,838,104,453,51
"NG19 9",4154,1417,1696,366,150,418,37
"NG2  1",1070,129,222,426,96,146,17
"NG2  2",2508,374,590,640,245,546,53
"NG2  3",923,87,112,204,68,419,11
"NG2  4",4634,526,898,888,717,1435,88
"NG2  5",3639,1196,1556,38,93,672,51
"NG2  6",5299,1660,2033,88,406,934,50
"NG2  7",6597,2181,2469,73,399,1337,74
"NG20 0",3867,1459,1099,563,212,414,46
"NG20 8",4203,1143,1178,857,293,571,46
"NG20 9",2797,835,783,409,209,429,46
"NG21 0",5116,1680,2003,406,343,530,71
"NG21 9",4175,1391,1570,502,217,366,61
"NG22 0",2907,1191,975,286,66,300,42
"NG22 8",3125,1257,1099,308,153,217,34
"NG22 9",5054,1746,1545,673,316,573,65
"NG23 5",2947,1243,1207,126,32,257,27
"NG23 6",2228,985,802,148,33,188,25
"NG23 7",2068,995,674,149,26,161,34
"NG24 1",3283,799,920,253,264,930,51
"NG24 2",4320,1365,1703,444,159,504,43
"NG24 3",5931,2006,2501,471,81,682,57
"NG24 4",6250,1865,1806,1309,275,790,77
"NG25 0",3718,1681,1140,235,89,431,60
"NG3  1",1722,132,209,672,254,381,25
"NG3  2",2166,387,624,549,109,378,33
"NG3  3",3155,332,653,1069,587,414,26
"NG3  4",1906,211,230,651,233,507,22
"NG3  5",4315,1289,1331,132,245,1176,54
"NG3  6",4968,1787,1937,109,185,816,65
"NG3  7",2860,979,1039,446,32,274,34
"NG31 6",1876,211,392,223,171,803,32
"NG31 7",5646,1300,1758,1065,253,1040,103
"NG31 8",5930,2342,2310,294,145,674,65
"NG31 9",5582,1521,2067,1013,101,709,61
"NG32 1",1870,717,513,156,75,309,23
"NG32 2",1521,740,505,101,9,112,20
"NG32 3",2019,767,704,205,36,212,42
"NG33 4",2034,765,692,195,35,212,29
"NG33 5",2198,553,736,201,143,438,41
"NG34 0",2549,921,880,318,41,274,53
"NG34 7",5722,1761,2105,504,284,894,61
"NG34 8",4586,1492,1727,305,151,541,271
"NG34 9",4950,2020,1737,520,52,471,63
"NG4  1",5697,1863,2094,323,496,764,73
"NG4  2",3958,922,1567,174,341,816,69
"NG4  3",4422,1461,1775,207,279,546,52
"NG4  4",3689,1503,1472,92,219,297,59
"NG5  1",3841,849,1441,334,196,900,43
"NG5  2",2753,650,832,71,168,939,53
"NG5  3",2108,626,745,374,69,222,31
"NG5  4",4177,1826,1500,159,57,548,42
"NG5  5",7401,1997,2247,1976,258,735,72
"NG5  6",5313,1812,1883,481,269,699,68
"NG5  7",3259,1063,1034,309,306,429,51
"NG5  8",5021,1932,1864,217,459,413,64
"NG5  9",4131,707,1482,1127,300,384,51
"NG6  0",3984,742,1319,510,494,799,57
"NG6  7",1979,484,728,460,118,139,17
"NG6  8",6875,1418,1897,1945,457,937,60
"NG6  9",3728,1001,1241,730,159,492,53
"NG7  1",4441,663,579,536,201,2332,69
"NG7  2",3195,320,275,213,448,1794,101
"NG7  3",2711,121,177,961,566,776,41
"NG7  4",1902,98,144,129,614,834,40
"NG7  5",2951,415,645,508,311,950,54
"NG7  6",3332,460,599,125,520,1483,59
"NG7  7",1902,200,446,96,466,626,27
"NG8  1",3750,1214,1176,519,152,569,60
"NG8  2",4750,2046,1504,281,448,381,33
"NG8  3",4090,1197,1155,1119,85,387,38
"NG8  4",3303,732,951,1089,154,255,37
"NG8  5",5174,917,1512,1655,238,690,48
"NG8  6",4631,564,1009,2041,427,461,50
"NG9  1",4469,1462,1589,177,188,947,61
"NG9  2",5024,978,1194,972,214,1441,105
"NG9  3",4795,2328,1658,220,71,413,46
"NG9  4",2505,869,800,472,18,250,27
"NG9  5",3488,1383,1154,383,14,352,165
"NG9  6",3845,1580,1676,56,22,416,37
"NG9  7",2546,910,1040,187,14,329,37
"NG9  8",3973,1222,1390,688,95,446,58
"NN1  1",1023,80,124,34,312,392,17
"NN1  2",1704,79,181,617,206,476,20
"NN1  3",2762,323,637,177,218,1259,63
"NN1  4",4511,913,1564,192,233,1455,81
"NN1  5",3559,732,1102,386,105,1080,63
"NN10 0",5705,1575,2413,173,698,698,64
"NN10 6",2290,764,1038,30,170,223,32
"NN10 8",3285,953,1528,67,325,339,34
"NN10 9",4654,1651,1800,100,520,466,47
"NN11 0",2087,496,1064,13,180,260,16
"NN11 2",576,251,216,10,41,51,5
"NN11 3",2648,958,1055,90,208,278,22
"NN11 4",5029,1316,1604,393,845,696,75
"NN11 6",1263,518,500,32,76,92,22
"NN11 7",776,303,256,33,93,63,8
"NN11 8",610,73,267,8,69,135,1
"NN11 9",2619,542,983,208,480,339,27
"NN12 6",3283,958,1275,137,360,381,36
"NN12 7",2424,854,1064,44,140,221,24
"NN12 8",3797,1470,1482,111,241,366,47
"NN13 5",2187,837,814,34,118,231,50
"NN13 6",4082,1093,2052,59,319,442,60
"NN13 7",1312,462,537,10,77,185,11
"NN14 1",4120,1391,1811,272,113,356,48
"NN14 2",4390,1396,1947,267,158,457,45
"NN14 3",1800,660,643,33,183,208,26
"NN14 4",4272,1289,1876,92,388,504,44
"NN14 6",3366,1106,1240,308,170,448,41
"NN15 5",6010,2170,2666,277,180,558,65
"NN15 6",5685,1984,2233,508,258,546,53
"NN15 7",2531,884,936,170,70,379,28
"NN16 0",3486,610,952,784,301,662,70
"NN16 8",3646,804,1149,178,285,1066,71
"NN16 9",6041,1569,2480,670,159,945,92
"NN17 1",4185,889,1479,970,95,645,40
"NN17 2",5203,1355,1913,1092,115,571,57
"NN17 3",1699,652,661,94,40,191,18
"NN17 4",218,23,92,9,18,59,1
"NN18 0",3748,1003,1234,897,50,474,40
"NN18 8",5521,753,2730,296,441,1168,53
"NN18 9",3910,927,1303,1062,54,458,39
"NN2  6",4167,782,1241,415,361,1159,80
"NN2  7",5591,1281,1929,1134,169,898,83
"NN2  8",5997,2602,2410,311,92,444,54
"NN29 7",4937,1928,1974,124,293,445,64
"NN3  2",4780,1341,1731,955,141,449,59
"NN3  3",3764,1784,1516,86,63,242,35
"NN3  5",3699,662,1519,800,113,404,37
"NN3  6",3151,1462,1160,203,33,197,43
"NN3  7",2499,1041,1016,64,102,195,28
"NN3  8",6209,953,2184,1811,266,791,94
"NN3  9",3952,955,1760,465,173,462,46
"NN4  0",4320,1106,2267,91,25,743,50
"NN4  5",1562,178,1002,5,46,268,20
"NN4  6",3904,924,2216,177,85,417,28
"NN4  7",277,138,106,13,0,10,4
"NN4  8",6136,1034,2310,928,360,1256,96
"NN4  9",2270,648,1149,125,41,201,15
"NN5  4",1809,221,797,23,231,316,22
"NN5  5",3275,713,1006,472,155,788,51
"NN5  6",6938,2735,2958,315,75,690,85
"NN5  7",4396,600,1188,1589,337,495,29
"NN6  0",3405,1380,1302,85,215,349,35
"NN6  6",1270,510,500,32,71,116,11
"NN6  7",3177,1126,1267,111,297,269,42
"NN6  8",2184,905,789,53,104,239,21
"NN6  9",3602,1242,1567,108,239,324,49
"NN7  1",1991,739,666,66,163,290,18
"NN7  2",2761,1041,1138,72,237,192,23
"NN7  3",3233,1371,1162,119,269,222,32
"NN7  4",3455,1297,1221,124,297,399,40
"NN8  1",3154,678,897,47,338,1011,72
"NN8  2",4711,1104,1692,456,901,405,43
"NN8  3",5215,1328,1722,489,1016,457,56
"NN8  4",4480,1015,1382,372,763,773,62
"NN8  5",3059,1098,1596,5,54,249,31
"NN9  5",6424,1864,2538,224,914,694,63
"NN9  6",4639,1562,1972,115,453,443,48
"NR1  1",2859,471,570,186,292,1228,50
"NR1  2",3830,899,877,1122,239,590,47
"NR1  3",2489,466,461,633,255,593,40
"NR1  4",3397,889,901,665,296,532,67
"NR10 3",4319,1766,1795,28,277,342,45
"NR10 4",2343,925,762,33,228,329,29
"NR10 5",2538,928,863,30,195,391,47
"NR11 6",3553,1673,936,54,349,403,65
"NR11 7",1295,589,362,17,96,178,29
"NR11 8",3127,1507,811,45,290,354,32
"NR12 0",2046,1058,540,39,106,240,20
"NR12 7",1472,597,467,12,153,198,23
"NR12 8",3059,1582,724,80,300,279,27
"NR12 9",2606,1064,760,52,278,357,39
"NR13 3",2913,1272,924,47,295,269,32
"NR13 4",2987,1307,1075,47,307,164,35
"NR13 5",3155,1402,1220,19,163,260,27
"NR13 6",2195,901,825,15,170,215,39
"NR14 6",3053,1268,979,98,273,316,27
"NR14 7",3477,1599,1244,53,220,263,36
"NR14 8",3458,1351,1311,65,260,354,43
"NR15 1",2786,1245,994,61,217,187,34
"NR15 2",3690,1368,1464,87,317,278,43
"NR16 1",2247,982,841,56,136,147,29
"NR16 2",2679,1034,883,48,212,366,55
"NR17 1",2873,1115,1054,34,206,336,45
"NR17 2",3738,1401,1285,62,340,518,52
"NR18 0",5416,2105,1812,154,462,648,78
"NR18 9",1830,730,666,57,125,180,24
"NR19 1",4901,1831,1533,107,541,729,68
"NR19 2",3871,1202,1428,91,473,558,58
"NR2  1",656,127,85,100,125,185,15
"NR2  2",3329,768,665,617,147,1000,63
"NR2  3",5157,1329,1411,266,328,1597,103
"NR2  4",3434,439,578,1269,324,680,81
"NR20 3",3060,1278,1074,55,293,239,40
"NR20 4",2768,1174,859,57,249,244,123
"NR20 5",2114,870,624,41,214,268,36
"NR21 0",1463,645,324,57,162,189,28
"NR21 7",1457,598,432,29,92,225,24
"NR21 8",2357,980,618,100,404,179,25
"NR21 9",1862,783,500,45,153,297,33
"NR22 6",395,138,62,19,58,73,14
"NR23 1",1485,620,163,81,247,260,38
"NR24 2",1948,814,546,35,164,300,36
"NR25 6",2578,1350,416,90,373,246,38
"NR25 7",1603,843,266,44,200,161,29
"NR26 8",3965,2084,796,50,312,560,75
"NR27 0",2336,1120,530,59,283,264,35
"NR27 9",3199,1533,599,36,222,702,40
"NR28 0",4054,1761,1248,83,381,461,47
"NR28 9",3667,1458,1001,125,543,408,46
"NR29 3",2954,1421,1000,185,17,211,41
"NR29 4",3578,1766,1117,235,21,312,55
"NR29 5",2063,1038,522,88,178,159,27
"NR3  1",2658,343,448,778,263,738,47
"NR3  2",3771,434,750,1745,294,430,40
"NR3  3",4975,813,1124,1550,372,984,64
"NR3  4",4344,924,1482,456,122,1203,89
"NR30 1",1962,467,379,277,159,595,41
"NR30 2",2432,430,337,514,197,878,36
"NR30 3",1905,291,286,601,119,543,29
"NR30 4",3084,958,733,681,76,528,37
"NR30 5",4138,2033,1286,234,43,419,47
"NR31 0",2976,635,814,400,224,804,58
"NR31 6",3964,1482,1150,240,208,753,90
"NR31 7",4556,1079,1201,1473,145,441,90
"NR31 8",5744,2277,1927,778,179,426,51
"NR31 9",4206,1885,1646,166,40,324,64
"NR32 1",1978,380,426,278,215,614,30
"NR32 2",4115,1094,1140,505,250,1018,66
"NR32 3",3631,1691,1133,28,328,365,46
"NR32 4",5680,2329,1647,778,325,463,57
"NR32 5",1556,691,495,95,29,184,30
"NR33 0",3643,994,1051,105,325,1071,54
"NR33 7",4334,2074,1186,293,276,361,54
"NR33 8",5474,2042,2357,131,219,584,69
"NR33 9",3730,1714,1002,414,251,260,44
"NR34 0",956,442,300,24,78,87,11
"NR34 7",3331,1488,1005,268,114,353,36
"NR34 8",1270,566,373,131,29,127,10
"NR34 9",4234,1683,1065,365,290,686,52
"NR35 1",2511,998,698,279,96,334,45
"NR35 2",2213,1005,639,71,161,244,35
"NR4  6",4016,1800,1112,632,61,326,32
"NR4  7",4122,1297,963,896,272,540,69
"NR5  0",3730,1474,1241,133,490,263,34
"NR5  8",5008,697,807,2274,390,658,64
"NR5  9",3315,501,973,664,532,527,54
"NR6  5",3116,1529,1071,21,214,218,29
"NR6  6",3371,1176,1124,346,248,404,40
"NR6  7",4061,1716,1506,47,346,336,66
"NR7  0",5845,2323,2284,39,404,641,70
"NR7  8",4893,2396,1714,50,289,316,43
"NR7  9",3408,1091,863,1020,167,179,28
"NR8  5",1953,539,847,49,201,241,20
"NR8  6",6472,2398,2839,26,369,677,67
"NR9  3",3204,1298,1149,89,262,315,29
"NR9  4",1997,855,658,54,196,163,31
"NR9  5",2020,806,742,37,134,192,41
"NW1  0",2915,222,347,937,280,915,65
"NW1  1",3166,171,245,1381,713,553,37
"NW1  2",678,48,47,377,25,165,8
"NW1  3",2615,202,187,1270,325,532,42
"NW1  4",1408,337,136,98,417,274,71
"NW1  5",1378,271,194,100,88,644,22
"NW1  6",2908,520,349,144,333,1398,53
"NW1  7",3051,597,474,388,299,1126,88
"NW1  8",3831,551,500,1151,578,933,59
"NW1  9",4266,575,631,1263,533,1102,90
"NW10 0",3817,434,612,1142,699,759,36
"NW10 1",3434,783,750,170,490,1122,37
"NW10 2",3298,412,446,202,739,1330,35
"NW10 3",3159,772,829,246,441,726,40
"NW10 4",3977,372,622,358,1018,1453,44
"NW10 5",5535,1014,1427,361,863,1663,80
"NW10 6",1155,176,216,63,212,361,14
"NW10 7",1284,256,295,54,141,472,17
"NW10 8",5046,294,468,1088,1814,1125,37
"NW10 9",3756,380,491,327,1377,1000,38
"NW11 0",2155,625,562,31,120,749,31
"NW11 6",2622,1033,790,51,95,559,30
"NW11 7",2215,813,459,17,113,727,33
"NW11 8",2531,700,520,46,43,1099,60
"NW11 9",2389,621,437,19,141,1065,41
"NW2  1",3212,713,749,380,263,977,39
"NW2  2",2883,652,578,599,88,830,47
"NW2  3",4697,556,730,511,476,2275,63
"NW2  4",3431,552,689,437,366,1243,48
"NW2  5",4019,539,663,181,724,1773,53
"NW2  6",4061,841,903,309,500,1363,51
"NW2  7",3275,1025,845,204,289,811,43
"NW3  1",2262,823,419,138,47,744,37
"NW3  2",5927,1232,1079,1304,522,1551,105
"NW3  3",3602,813,584,851,179,1057,53
"NW3  4",4474,1217,811,311,157,1826,61
"NW3  5",2463,735,421,109,46,1040,37
"NW3  6",2711,579,356,331,239,1093,23
"NW3  7",2090,845,448,104,35,562,21
"NW4  1",2487,814,797,33,112,648,36
"NW4  2",2868,688,650,386,65,968,38
"NW4  3",3209,923,738,167,67,1178,43
"NW4  4",3041,703,853,79,187,1096,59
"NW5  1",3661,820,727,850,409,713,45
